,logFC,logCPM,F,PValue,FDR
RNF138,1.117880473917,6.59926268479871,49.3994966879959,3.41402521666573e-07,1.81379736747313e-06
RNASEH2B,0.866105339303598,5.14626888238166,49.3707516472575,3.43007340616704e-07,1.82157472670975e-06
CRTAC1,3.36064498355214,-0.105984868125529,50.9432955995592,3.43878353731622e-07,1.82437286928135e-06
KLHL29,1.83526050781183,2.0468950740676,49.3544335657534,3.43922015259844e-07,1.82437286928135e-06
MDGA1,1.97062056278493,0.416302630305237,49.3537986496489,3.4395765762329e-07,1.82437286928135e-06
PI4KB,-0.437324710962223,6.05072957624239,49.3502254246343,3.44158323058219e-07,1.82448743271181e-06
NDRG1,-1.92622340384458,3.59799911008462,49.348388083562,3.44261554106769e-07,1.82448743271181e-06
DUSP18,-1.54949551220564,2.77123580711015,49.3373716429365,3.44881219075242e-07,1.82702239252729e-06
CKMT1B,4.86659397159265,3.74470554022748,49.3324088852785,3.45160765602791e-07,1.82765017732608e-06
B3GNT8,-1.53496765760264,1.80922766689334,49.3302489237035,3.452825106785e-07,1.82765017732608e-06
STXBP5,-0.937185589503703,3.53912778481796,49.3177761498829,3.45986445087971e-07,1.83062660221331e-06
SLC66A1,-0.596350465777859,4.8273890555874,49.3108710277187,3.46376824589249e-07,1.8314753777602e-06
ASTN1,2.74822095571956,3.08213439732254,49.3099268389403,3.46430241267499e-07,1.8314753777602e-06
OR10A3,-3.726347847221,-0.810803592708641,49.3006095630897,3.46957838426478e-07,1.83351472587925e-06
CDK14,2.25484925097249,4.60474375770114,49.2768729984449,3.4830588684515e-07,1.83981605287603e-06
POLR1H,0.647567030356849,4.40400031655785,49.2746063129432,3.48434913928556e-07,1.83981605287603e-06
TAC3,2.97317205384482,3.91835646969164,49.2465214750749,3.50037909014984e-07,1.84735070949105e-06
EMC3,-0.539432976914763,5.65838986102187,49.2446029356774,3.50147705264821e-07,1.84735070949105e-06
SGSH,-1.09227772085703,5.35924176081803,49.2168384465356,3.51740837523932e-07,1.85499880286999e-06
BTG2,-3.11085705832229,6.23143955368049,49.2140467275051,3.51901462175429e-07,1.85508902939625e-06
RSPH3,-1.57834587206063,4.08703664332495,49.1815048942018,3.53779682755238e-07,1.86314206998527e-06
TOP2A,1.32720326337954,8.64970133193235,49.1810972693828,3.53803278641493e-07,1.86314206998527e-06
PRODH,1.43317257581716,3.41168303998163,49.1800915633895,3.53861502538592e-07,1.86314206998527e-06
SYT12,3.83429234144243,3.0551558504411,49.1774688641668,3.54013388903642e-07,1.86318284404254e-06
BMI1,-1.38918289066113,2.59630499041189,49.1741736037533,3.54204325202446e-07,1.86340131443064e-06
SLC25A12,2.28906562211063,3.7590398867861,49.1717777513808,3.54343217613376e-07,1.86340131443064e-06
IFITM3,-0.887043309880353,8.40701099204713,49.1365219808597,3.56393922714285e-07,1.87283009549342e-06
PTPRJ,-0.772006152555164,4.93351530839047,49.1359728443754,3.56425965876049e-07,1.87283009549342e-06
MGAT2,-0.961613874993515,2.53694258725932,49.1299346701508,3.56778511374791e-07,1.8739207793704e-06
RNASEK,-1.04801403609679,4.27926945632318,49.123754111203,3.57139762570473e-07,1.8750562839098e-06
ARGLU1,0.754894144442432,7.50888965441987,49.1207428732366,3.57315912187135e-07,1.87521944008563e-06
SELENOM,1.15664183241338,3.61848783775604,49.1031430741455,3.58347344807591e-07,1.87986922848333e-06
ARL10,-0.973010366663411,4.613600539372,49.069820929563,3.60309053627529e-07,1.88939343902208e-06
CTSD,-0.563724369584421,7.45454097667313,49.0454898642666,3.61748817772967e-07,1.8961740545553e-06
CYTH3,1.05234570018444,3.96919473286001,49.0188380517498,3.6333308660929e-07,1.90370631435415e-06
MED27,-0.549050598022048,5.30288851297575,48.9983057903297,3.64558730416531e-07,1.90935419342142e-06
NPW,2.37237637260771,1.5519585492213,48.995394797891,3.64732861199109e-07,1.90949249245026e-06
RASL10B,-1.14798432762639,4.86194814903417,48.9832211393242,3.65462049220232e-07,1.91253540413794e-06
PRLR,-1.25842630354956,2.35887500784841,48.9707424947084,3.66211149786352e-07,1.91568001705317e-06
PCSK7,-0.609186116750073,5.89869925380396,48.9616047239585,3.66760753723891e-07,1.91777892501417e-06
GNAQ,-0.510399798674401,5.91281477109826,48.9194513254254,3.69307757313177e-07,1.93031624384558e-06
TEC,-1.08958099864545,2.14033212010428,48.8601829380296,3.72921448276299e-07,1.94841658869016e-06
PREX2,1.15055225179492,5.3896586934335,48.8555616002652,3.7320482910661e-07,1.94910934183113e-06
EML6,2.33691912713662,0.470253415911634,48.8453469030782,3.73832025664054e-07,1.95159643123326e-06
PHF24,-2.17762072412396,1.75785294438887,48.8362821036795,3.74389576059098e-07,1.95371807030275e-06
TRAIP,0.978338764985963,4.67291672877949,48.8332837568088,3.74574194760445e-07,1.95389267210392e-06
PLAC8,-3.27600962026615,0.689407334885569,48.8239710843898,3.75148239554733e-07,1.95609767829144e-06
ZNF428,-1.04520904534952,4.74557720147616,48.7652167968754,3.78792038840883e-07,1.97430076373277e-06
IQCN,-2.43517371925376,0.781149402392505,48.7521904316321,3.7960509942343e-07,1.9777410379473e-06
BAALC,3.04754976154078,0.964161347749185,48.7260661290846,3.81241408251361e-07,1.98478378268656e-06
AIDA,-0.759967446286485,6.36500318059676,48.7257067047901,3.81263974347108e-07,1.98478378268656e-06
