,TCF4,GATA4,CTCF,PRDM1,SMAD4,GATA6,FOXA1,NANOG,HNF4A,SOX17,FOXA2,POU5F1,SP1,SOX2,STAT3,KLF5,HNF1B,SRF,OTX2,THAP11,SMAD2,EOMES
HAS3,0.26850308276555407,0.021996957944055068,0.570099101281529,0.008568715031818134,0.0005683675532166322,0.46836261974426396,0.55771102010441,0.029727282752849703,0.19695165063907205,0.3343785782509545,0.13985713363858765,0.22771188980098295,0.10110652432262995,0.001486366276413703,0.47366353234886527,0.30223833885683804,0.08715872684415717,0.040866695808318615,0.1607124008296365,0.05350039370229596,0.09425871459817899,0.9341754542148634
LYPD3,1.3375922829282027e-14,9.106757451986746e-06,3.4173306518568125e-08,5.372664088711878e-05,5.168052242117534e-05,-1.0,1.2126493856470253e-06,2.03339795530406e-15,0.3121807347653718,0.0012817823490861935,0.20232655018708368,-1.0,1.5917536595418109e-06,0.008836345900953722,1.1227835664214393e-05,2.9055229136208636e-05,0.3354598601013995,0.005379734491861304,0.06043964939616528,0.04710370069703567,2.270634384373925e-07,1.3589196540769055e-05
SPOCK3,0.001444378814545649,0.10736378933188538,0.7712887287851654,0.3564273312974411,0.0008508195252761542,-1.0,0.008141766389223266,0.6216352997110235,-1.0,0.00010720320160323334,0.10980373168466934,0.012635234673858896,0.00011673786061460824,0.1926431882102942,0.00036976867080080127,0.024541495684933787,2.5325034977405252e-05,0.8566358827835685,0.0015452441446332328,0.008375550294621979,8.307079554666387e-05,0.6337771937768355
CNTN4,0.0010195650179486181,0.0196375484048593,0.18836709432619325,0.49009289221793984,0.4089456014896371,0.30959911898625386,0.001208891561065769,0.009827519784868382,-1.0,0.2333600146458864,0.3031814512471154,0.4108046874440454,0.14619840333545098,0.15522217515703307,0.3004511158019845,0.18259040759711706,0.7846097134722427,0.0111551985968516,0.0008464547711800301,-1.0,0.001982173834469325,-1.0
MCCC1,0.8333766320666927,0.9454149567793745,0.7896022742546058,0.2301144457816552,0.14529400522661334,0.5769640374669818,-1.0,0.31002037292883877,0.2233191332092872,0.7119729741720209,0.8555585073640827,0.9984003385941451,0.5152734183433731,0.8021454280636384,0.832653847059111,0.6947080201773688,0.4375176112360205,0.1350433776321969,0.41690116230891816,0.6894573446137173,0.6431480037932275,0.7353015796031364
KCNG1,0.10341026916592094,0.6948169767012231,0.2507869614648644,0.3544440560872154,0.47054478428120905,0.6026454551655991,0.4053738681880811,0.6715488099891949,-1.0,-1.0,-1.0,0.2257611435267149,0.15880252592186975,0.3375061706991652,0.6636421280734157,0.9607439649611591,4.999180870396402e-05,0.04219172845966534,0.0002628105409327514,0.32405034008967815,0.49943490168249405,0.14945804426208129
MEPE,0.8185421592741202,-1.0,0.6235504582079281,0.20707199156836656,0.7200673716695236,-1.0,0.06626559998355079,0.7726365341549956,0.08071643872305799,0.19875921386306078,0.05121734232743254,0.6641449214650513,0.13905285487244334,0.17864712498764224,0.3123582094422342,0.5637615259510607,0.29912441786179916,0.732782647066338,0.6296673584655459,-1.0,0.08050195324209015,0.14541321686341593
DIO3,-1.0,0.34489188358192846,0.06843472759967839,0.562071851406631,-1.0,0.8042264330461909,0.053036029712774324,0.950326089190633,0.36975211296445,0.06605057391478301,0.5689640263011237,0.09565569777312934,0.4731005804851326,0.6257040608964668,-1.0,0.26460809334222657,0.942629340580559,0.0345441927898821,-1.0,0.7228662762256064,0.14797331203852307,0.16922677952510626
KCNQ4,0.5914302037907514,0.5147083287159502,0.0017748558129347383,0.1585268843089139,0.0522725632592754,0.32275416036005533,0.7499283925612494,0.29663115596670736,0.2789689041744239,0.1505970018716707,0.17659891524803253,0.08782426151909448,0.3715583652177953,0.6167728060132152,0.3769933111180813,0.05827212950986581,8.743183092075363e-05,0.1655842354235557,0.108601870829436,9.658565808097564e-05,0.9813854302664822,0.6482561312965048
SORCS3,0.012552437515150559,0.14169169691620206,0.017108680794631573,0.23382352252344535,0.08111112325883704,0.20930378027737379,0.4909353082898823,0.16306899087815824,-1.0,0.295143224316808,0.9942989869740188,0.03415257774957555,0.9831585258826274,0.510966057036321,0.23578995964755073,0.8508818646991991,0.1333404978542154,0.3293027587978129,0.28428631934784326,0.3764945455595792,0.026421491970267157,0.7578738325706459
